"convocatoria","colectiva_nombre","colectiva_url","pais","ciudad","actividad_fecha","actividad_hora","actividad_localizacion","actividad_localizacion_latitude","actividad_localizacion_longitude","actividad_localizacion_altitude","actividad_localizacion_precision","actividad_direccion","actividad_url_imagen","actividad_url_convocatoria"
"2024","Sindicato de Estudiantes","https://www.sindicatodeestudiantes.net/","ES","A Coruña","2024-03-08","12:00:00","43.368261 -8.401408 0 0","43.368261","-8.401408","0.0","0.0","Obelisco, Rúa Nova, 2, 15003 A Coruña","{{https://www.sindicatodeestudiantes.net/images/2024/Febrero/8m2024/8M2024_cartel_galizaweb.jpg}}","https://www.sindicatodeestudiantes.net/images/2024/Febrero/8m2024/comunicacionoficial_8M2024.pdf"
"2024","Sindicato de Estudiantes","https://www.sindicatodeestudiantes.net/","ES","Ferrol","2024-03-08","12:00:00","43.485722 -8.228109 0 0","43.485722","-8.228109","0.0","0.0","Av. Vigo, 134, 144, 15403 Ferrol","{{https://www.sindicatodeestudiantes.net/images/2024/Febrero/8m2024/8M2024_cartel_galizaweb.jpg}}","https://www.sindicatodeestudiantes.net/images/2024/Febrero/8m2024/octaLyC_8M24_galiza.pdf"
"2024","Ikasle Sindikatua","ikaslesindikatua.net","ES","Bilbo","2024-03-08","12:00:00","43.259659 -2.924488 0 0","43.259659","-2.924488","0.0","0.0","Plaza Arriaga, Bilbo","{{https://www.sindicatodeestudiantes.net/images/2024/Febrero/8m2024/8M2024_kartel_euskadiweb.jpg}}","https://www.sindicatodeestudiantes.net/images/2024/Febrero/8m2024/hojaA4_8mar24_euskera.pdf"
"2024","Ikasle Sindikatua","ikaslesindikatua.net","ES","Donostia","2024-03-08","12:00:00","43.322227 -1.984073 0 0","43.322227","-1.984073","0.0","0.0","Boulevard, Donostia","{{https://www.sindicatodeestudiantes.net/images/2024/Febrero/8m2024/8M2024_kartel_euskadiweb.jpg}}","https://www.sindicatodeestudiantes.net/images/2024/Febrero/8m2024/hojaA4_8mar24_euskera.pdf"
"2024","Ikasle Sindikatua","ikaslesindikatua.net","ES","Vitoria- Gasteiz","2024-03-08","12:00:00","42.8465 -2.673328 0 0","42.8465","-2.673328","0.0","0.0","Andre Mari Zuria, Vitoria Gasteiz","{{https://www.sindicatodeestudiantes.net/images/2024/Febrero/8m2024/8M2024_kartel_euskadiweb.jpg}}","https://www.sindicatodeestudiantes.net/images/2024/Febrero/8m2024/hojaA4_8mar24_euskera.pdf"
"2024","Ikasle Sindikatua","ikaslesindikatua.net","ES","Iruñea","2024-03-08","12:00:00","42.817535 -1.642837 0 0","42.817535","-1.642837","0.0","0.0","Udaletxea, Iruñea","{{https://www.sindicatodeestudiantes.net/images/2024/Febrero/8m2024/8M2024_kartel_euskadiweb.jpg}}","https://www.sindicatodeestudiantes.net/images/2024/Febrero/8m2024/hojaA4_8mar24_euskera.pdf"
"2024","Geochicas / Red Mexicana de Feminismo de datos","geochicas.org; redmexicanadefeminismodedatos.org/inicio","MX","Ciudad de México","2024-03-02","13:00:00","19.406558 -99.187093 0 0","19.406558","-99.187093","0.0","0.0","Espacio Nativo Gobernador José G. Covarrubias #57-20 San Miguel Chapultepec I Sec.","{{https://pbs.twimg.com/media/GHWsx0DW4AAqtMm?format=jpg&name=large}}","https://pbs.twimg.com/media/GHWsx0DW4AAqtMm?format=jpg&name=large"
"2024","Geochicas","geochicas.org","MX","Ciudad de México","2024-03-08","18:30:00","19.284021 -99.135793 0 0","19.284021","-99.135793","0.0","0.0","Tec de Monterrey Ciudad de Mexico, edificio CIE 403","{{https://pbs.twimg.com/media/GHW1-baW4Ag4zpb?format=jpg&name=900x900}}","https://www.instagram.com/genero.eaad_tec?igsh=MWgwOHdvMDJwM2VweA%3D%3D"
"2024","TEDIC, Centro Cultural Juan e Salazar y la Colectiva Robusta","https://twitter.com/TEDICpy","PY","Asunción","2024-03-02","16:30:00","-25.288871 -57.630356 0 0","-25.288871","-57.630356","0.0","0.0","Herrera, 834 Asunción, Paraguay","{{https://twitter.com/TEDICpy/status/1762520836118856189}}","Inscribite a la actividad"
"2024","Meninas da Geo","","BR","Belém","2024-03-08","10:00:00","-1.438407 -48.460779 0 0","-1.438407","-48.460779","0.0","0.0","Laboratório de Geomática","{{https://www.instagram.com/meninasdageo/}}",""
"2024","Sindicato de Estudiantes","https://www.sindicatodeestudiantes.net/","ES","Madrid","2024-03-08","12:00:00","40.416943 -3.703605 0 0","40.416943","-3.703605","0.0","0.0","Puerta del Sol, Madrid","{{https://www.sindicatodeestudiantes.net/images/2024/Febrero/8m2024/050224_3.jpg#joomlaImage://local-images/2024/Febrero/8m2024/050224_3.jpg?width=900&height=600}}","https://www.sindicatodeestudiantes.net/images/2024/Febrero/8m2024/octaLyC_8M24_madrid.pdf"
