"indice","convocatoria","colectiva_nombre","colectiva_url","pais","ciudad","actividad_fecha","actividad_hora","actividad_localizacion","actividad_localizacion_latitude","actividad_localizacion_longitude","actividad_localizacion_altitude","actividad_localizacion_precision","actividad_direccion","actividad_url_imagen","actividad_url_convocatoria"
"260","2024","Sembradoras MelchorOcampo","https://www.facebook.com/profile.php?id=61550640140903&sk=about","MX","Ciudad de México","2024-03-06","19:00:00","19.70593 -99.14293 0 0","19.70593","-99.14293","0.0","0.0","Plaza Juárez, 54880 Melchor Ocampo, Méx., México","{{https://www.facebook.com/photo/?fbid=122166188246021338&set=a.122120732300021338}}","https://www.facebook.com/photo/?fbid=122166188246021338&set=a.122120732300021338"
"261","2024","Ellas dirigen","https://ellasdirigen.wordpress.com/","MX","Tijuana","2024-03-06","19:00:00","32.500804 -116.945889 0 0","32.500804","-116.945889","0.0","0.0","Cinema CEART Tijuana","{{https://www.facebook.com/photo/?fbid=813453387479678&set=a.813459060812444&locale=es_LA}}","https://www.facebook.com/photo/?fbid=813453387479678&set=a.813459060812444&locale=es_LA"
"262","2024","Morras leyendo morras","https://www.instagram.com/morrasleyendomorras/","MX","Mexicali","2024-03-08","11:00:00","32.652112 -115.485737 0 0","32.652112","-115.485737","0.0","0.0","Actividad remota: https://www.facebook.com/BC.SecretariaCultura","{{https://www.instagram.com/p/C4GfPhHOUwQ/}}","https://www.facebook.com/photo/?fbid=813458777479139&set=a.813459060812444&locale=es_LA"
"263","2024","Mujeres del color de la tierra","https://www.facebook.com/mujeresdelcolordelatierra/","MX","Tijuana","2024-03-16","17:00:00","32.30547 -117.039657 0 0","32.30547","-117.039657","0.0","0.0","Paseo La Cascada s/n, La Cascada, 22701 Playas de Rosarito, B.C., México","{{https://www.facebook.com/photo/?fbid=817459080412442&set=pcb.817460167079000&locale=es_LA}}","https://www.facebook.com/photo/?fbid=817459080412442&set=pcb.817460167079000&locale=es_LA"
"264","2024","Cafebrería Aletósfera","https://www.instagram.com/aletosfera/","MX","Tijuana","2024-03-07","18:00:00","32.517415 -117.016656 0 0","32.517415","-117.016656","0.0","0.0","Iturbide 332, Col. Calete, Tijuana.","{{https://www.facebook.com/photo/?fbid=412302591303906&set=pcb.412302634637235}}","https://www.instagram.com/p/C3xnsuYrkrU/?img_index=1"
"265","2024","Coordinadora de Feminismos","https://www.instagram.com/feminismos.uy/","UY","Montevideos","2024-03-08","17:30:00","-34.905913 -56.19132 0 0","-34.905913","-56.19132","0.0","0.0","18 de Julio","{{https://www.instagram.com/p/C4JbrWopxb6/}}","https://www.instagram.com/p/C4JbrWopxb6/"
"266","2024","Purple Dancing Club","https://www.instagram.com/purpledancingclub/","MX","Ensenada","2024-03-23","11:00:00","31.870887 -116.606815 0 0","31.870887","-116.606815","0.0","0.0","Blvd, Lázaro Cárdenas 1430, Playa Ensenada, 22880 Ensenada, B.C., México","{{https://www.facebook.com/photo?fbid=817459453745738&set=pcb.817460167079000&locale=es_LA}}","https://www.facebook.com/photo?fbid=817459453745738&set=pcb.817460167079000&locale=es_LA"
"267","2024","Cultura BC San Felipe","https://www.facebook.com/CulturaBCSanFelipe","MX","San Felipe","2024-03-01","14:00:00","31.028884 -114.839522 0 0","31.028884","-114.839522","0.0","0.0","Actividad remota: https://www.facebook.com/CulturaBCSanFelipe/live_videos","{{https://www.facebook.com/photo?fbid=817459923745691&set=pcb.817460167079000&locale=es_LA}}","https://www.facebook.com/photo?fbid=817459923745691&set=pcb.817460167079000&locale=es_LA"
"268","2024","Cultura BC San Felipe","https://www.facebook.com/CulturaBCSanFelipe","MX","San Felipe","2024-03-02","14:00:00","31.02668 -114.840333 0 0","31.02668","-114.840333","0.0","0.0","Actividad remota: https://www.facebook.com/CulturaBCSanFelipe/live_videos","{{https://www.facebook.com/photo?fbid=817459923745691&set=pcb.817460167079000&locale=es_LA}}","https://www.facebook.com/photo?fbid=817459923745691&set=pcb.817460167079000&locale=es_LA"
"269","2024","Cultura BC San Felipe","https://www.facebook.com/CulturaBCSanFelipe","MX","San Felipe","2024-03-03","14:00:00","31.032362 -114.836513 0 0","31.032362","-114.836513","0.0","0.0","Actividad remota: https://www.facebook.com/CulturaBCSanFelipe/live_videos","{{https://www.facebook.com/photo?fbid=817459923745691&set=pcb.817460167079000&locale=es_LA}}","https://www.facebook.com/photo?fbid=817459923745691&set=pcb.817460167079000&locale=es_LA"
